month,day,day_of_week,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll7,pm2_5_roll14,pm2_5_std7,pm2_5
12,7,0,431.11,449.73,457.7,431.9542857142857,429.64142857142855,56.309634124526156,315.4
12,7,0,315.4,431.11,449.73,413.2471428571429,413.1171428571429,79.25881543279229,285.85
12,7,0,285.85,315.4,431.11,386.47428571428566,400.5678571428571,89.84476776773376,277.5
12,7,0,277.5,285.85,315.4,364.17428571428576,393.7742857142857,79.17594307556232,331.93
12,7,0,331.93,277.5,285.85,358.8914285714286,394.42142857142863,72.8788701496232,420.72
12,7,0,420.72,331.93,277.5,364.3014285714286,400.95142857142855,81.62653968503322,487.6
12,7,0,487.6,420.72,331.93,384.2914285714286,413.7885714285714,112.14395724968402,571.04
12,7,0,571.04,487.6,420.72,433.7471428571429,432.8507142857143,147.47033483769795,661.59
12,7,0,661.59,571.04,487.6,495.98,454.61357142857145,165.47463582071987,721.48
12,7,0,721.48,661.59,571.04,564.6271428571429,475.55071428571426,159.29051611382695,758.03
12,7,0,758.03,721.48,661.59,629.0457142857142,496.61,139.44542801841123,782.86
12,7,0,782.86,758.03,721.48,674.8414285714287,516.8664285714286,108.92551635996735,741.29
12,7,0,741.29,782.86,758.03,696.3842857142856,530.3428571428572,75.5078042008764,638.4
12,7,0,638.4,741.29,782.86,695.8742857142857,540.0828571428572,76.50103852391733,567.47
12,7,0,567.47,638.4,741.29,677.6414285714285,555.6942857142857,98.173500740367,533.96
12,7,0,533.96,567.47,638.4,648.5942857142857,572.2871428571428,112.12920922714369,518.15
12,7,0,518.15,533.96,567.47,613.2728571428571,588.9499999999999,110.84609145331203,510.78
12,8,1,510.78,518.15,533.96,574.9614285714285,602.0035714285714,86.0305464023422,514.68
12,8,1,514.68,510.78,518.15,548.9671428571428,611.9042857142857,45.19726603615214,559.33
12,8,1,559.33,514.68,510.78,559.1942857142857,627.7892857142857,70.06511325358682,709.99
12,8,1,709.99,559.33,514.68,602.8957142857142,649.385,138.28123045170634,873.38
12,8,1,873.38,709.99,559.33,637.6214285714285,657.6314285714285,148.24707140767464,777.04
12,8,1,777.04,873.38,709.99,687.99,668.2921428571428,160.29680699668694,870.73
12,8,1,870.73,777.04,873.38,747.3771428571428,680.325,160.7075162849452,926.49
12,8,1,926.49,870.73,777.04,729.4242857142857,652.1928571428572,194.5012202067239,389.01
12,8,1,389.01,926.49,870.73,697.3342857142858,623.1507142857142,240.36471141837325,334.7
12,8,1,334.7,389.01,926.49,644.1328571428572,601.6635714285713,275.71162529681135,337.58
12,8,1,337.58,334.7,389.01,579.7857142857143,591.3407142857143,265.67057363441273,422.95
12,8,1,422.95,337.58,334.7,549.2542857142856,593.4378571428572,251.10482929493395,563.32
12,8,1,563.32,422.95,337.58,522.8585714285715,605.4242857142857,219.3879718237812,685.96
